"subj" "group" "tree" "cat" "rt"
7 0 "KNT" "true" 2080
7 0 "UNF" "false" 1937
7 0 "URT" "true" 1147
7 0 "KNF" "true" 2031
7 0 "UNT" "true" 2124
7 0 "URF" "true" 1699
7 0 "KRT" "true" 1173
7 0 "URT" "true" 3773
7 0 "KNF" "false" 1589
7 0 "UNF" "true" 2726
7 0 "KRT" "false" 2714
7 0 "URT" "true" 1360
7 0 "KRT" "true" 3633
7 0 "KRT" "true" 1522
7 0 "URF" "true" 1755
7 0 "KNF" "false" 1651
7 0 "KNF" "false" 1769
7 0 "URF" "true" 1818
7 0 "KNT" "true" 1769
7 0 "KNT" "true" 3427
8 0 "KRF" "true" 2910
8 0 "UNT" "true" 4110
8 0 "KNF" "false" 7411
8 0 "URF" "false" 3484
8 0 "URF" "false" 1683
8 0 "URF" "true" 3016
8 0 "KRF" "true" 1290
8 0 "KRT" "true" 1495
8 0 "UNF" "true" 2835
8 0 "KNF" "true" 3746
8 0 "URF" "true" 3288
8 0 "URF" "true" 2884
8 0 "UNT" "true" 5891
8 0 "KRF" "false" 3766
8 0 "KNF" "true" 3961
8 0 "UNF" "true" 3057
8 0 "URF" "false" 3035
8 0 "UNT" "true" 5823
8 0 "KRF" "true" 5226
8 0 "KRT" "true" 1632
8 0 "KRT" "true" 2075
8 0 "KNT" "true" 4224
8 0 "KRT" "true" 4598
8 0 "KRF" "false" 1722
8 0 "KRF" "false" 1472
8 0 "UNF" "true" 3340
8 0 "KRT" "true" 2361
8 0 "URT" "false" 2756
8 0 "KNT" "true" 2277
8 0 "URT" "true" 2110
8 0 "URT" "true" 1498
8 0 "KRF" "true" 2821
8 0 "URT" "true" 2533
8 0 "KNT" "true" 2248
8 0 "UNT" "true" 5365
8 0 "KRT" "true" 1982
8 0 "UNF" "false" 5802
8 0 "UNT" "true" 6994
8 0 "UNF" "true" 3584
8 0 "UNF" "true" 3352
8 0 "KNT" "true" 4332
8 0 "KNF" "false" 5750
8 0 "URT" "true" 1546
8 0 "URT" "true" 2058
8 0 "KNT" "true" 1749
8 0 "URT" "true" 4026
8 0 "KNT" "true" 3513
8 0 "UNT" "true" 2276
8 0 "KRT" "true" 2409
8 0 "UNT" "true" 1781
8 0 "UNT" "false" 1895
8 0 "KNT" "true" 2294
8 0 "UNF" "true" 4867
8 0 "KNF" "false" 3289
8 0 "KNT" "true" 2398
8 0 "UNT" "false" 3490
8 0 "UNF" "false" 3856
8 0 "URT" "true" 2302
8 0 "URT" "false" 2396
8 0 "UNF" "false" 3709
8 0 "KNF" "true" 3343
8 0 "URF" "true" 2654
8 0 "KNT" "true" 2700
8 0 "KRF" "false" 1376
8 0 "KRF" "false" 3577
8 0 "UNT" "true" 3737
8 0 "KNF" "false" 4084
8 0 "URT" "true" 2015
8 0 "KRT" "true" 1986
8 0 "KRT" "true" 1654
8 0 "UNF" "true" 4264
8 0 "KRT" "true" 2270
8 0 "KRF" "true" 2539
8 0 "KNF" "false" 3390
8 0 "KNT" "true" 2255
8 0 "KNF" "false" 4105
8 0 "KNF" "false" 3152
8 0 "URF" "true" 1942
8 0 "URF" "true" 1630
9 0 "URT" "true" 2920
9 0 "KNT" "true" 3171
9 0 "URF" "true" 2684
9 0 "KRF" "true" 2640
9 0 "URF" "true" 2430
9 0 "KNF" "true" 4110
9 0 "KRF" "false" 2281
9 0 "URT" "true" 1965
9 0 "KRT" "true" 1871
9 0 "KNF" "true" 4579
9 0 "KRT" "true" 2940
9 0 "URT" "true" 1942
9 0 "URF" "true" 1552
9 0 "UNF" "false" 2890
9 0 "KNF" "true" 4494
9 0 "UNT" "true" 3131
9 0 "UNT" "true" 6029
9 0 "UNF" "true" 3316
9 0 "UNT" "true" 5359
9 0 "URF" "true" 2905
9 0 "UNT" "true" 4108
9 0 "KNF" "false" 8464
9 0 "UNF" "false" 3489
9 0 "URT" "true" 3350
9 0 "KNT" "true" 3415
9 0 "KRT" "true" 2783
9 0 "URT" "true" 2407
9 0 "KNF" "true" 3918
9 0 "URT" "true" 2481
9 0 "UNF" "true" 4310
9 0 "UNT" "true" 2882
9 0 "UNF" "true" 4286
9 0 "KRF" "true" 1851
9 0 "URT" "true" 2528
9 0 "UNT" "true" 4195
9 0 "URF" "true" 2563
9 0 "KRF" "true" 2140
9 0 "UNF" "true" 3743
9 0 "KNF" "false" 5057
9 0 "URF" "true" 2287
9 0 "KRT" "true" 3443
9 0 "KNT" "true" 2417
9 0 "KRF" "false" 4777
9 0 "UNF" "true" 2105
9 0 "UNT" "true" 5501
9 0 "KNT" "true" 2505
9 0 "KNF" "false" 5701
9 0 "URF" "true" 2792
9 0 "URT" "true" 3769
9 0 "KNF" "true" 4281
9 0 "KNF" "true" 3302
9 0 "KRF" "true" 4321
9 0 "UNT" "true" 2621
9 0 "KRT" "true" 3716
9 0 "KRF" "false" 2999
9 0 "URF" "true" 2734
9 0 "KNF" "false" 3321
9 0 "URT" "true" 2499
9 0 "KNT" "true" 5263
9 0 "KNT" "false" 3612
9 0 "KRF" "true" 2220
9 0 "KRT" "true" 2403
9 0 "URT" "true" 3762
9 0 "KRT" "true" 2004
9 0 "KRF" "true" 4604
9 0 "URF" "true" 2603
9 0 "KNT" "true" 2787
9 0 "KNT" "true" 3699
9 0 "KNT" "true" 2383
9 0 "UNT" "true" 3391
9 0 "UNF" "true" 5688
9 0 "KRT" "true" 4532
9 0 "KRF" "true" 2399
9 0 "URF" "true" 3286
9 0 "KNT" "true" 3195
9 0 "UNT" "true" 2859
9 0 "KRT" "true" 2096
9 0 "UNF" "true" 2349
9 0 "UNF" "false" 4374
9 0 "KRT" "true" 2447
10 0 "KNT" "true" 1967
10 0 "UNF" "false" 3322
10 0 "KNF" "false" 2999
10 0 "KRT" "true" 2058
10 0 "UNF" "true" 1908
10 0 "KRF" "false" 2567
10 0 "KNF" "true" 3638
10 0 "KNT" "false" 2390
10 0 "URF" "false" 2220
10 0 "URF" "true" 3062
10 0 "KNT" "true" 2835
10 0 "KNT" "true" 3059
10 0 "KRT" "true" 1221
10 0 "URT" "true" 2424
10 0 "URF" "true" 2048
10 0 "URF" "false" 2526
10 0 "UNF" "true" 1537
10 0 "UNT" "false" 3906
10 0 "KNF" "false" 2219
10 0 "UNT" "true" 2499
10 0 "URT" "true" 2228
10 0 "KNF" "false" 3227
10 0 "KRF" "true" 1379
10 0 "URT" "true" 3759
10 0 "UNT" "true" 2394
10 0 "KRF" "false" 2615
10 0 "UNT" "true" 2245
10 0 "KNF" "true" 3101
10 0 "URF" "false" 2996
10 0 "UNT" "true" 3351
10 0 "UNF" "false" 2620
10 0 "KNT" "true" 2905
10 0 "UNT" "true" 1734
10 0 "UNF" "false" 3154
10 0 "KNT" "true" 2266
10 0 "KNF" "false" 2417
10 0 "KNF" "false" 2576
10 0 "KRT" "true" 2379
10 0 "KRF" "false" 2085
10 0 "URF" "false" 3388
10 0 "URF" "false" 2624
10 0 "UNF" "false" 4081
10 0 "KRF" "true" 1555
10 0 "UNT" "true" 2938
10 0 "KNT" "true" 2532
10 0 "UNF" "false" 2040
10 0 "UNF" "false" 2768
10 0 "URT" "false" 3011
10 0 "KRT" "true" 2383
10 0 "URT" "true" 2777
10 0 "KNF" "false" 3459
10 0 "URF" "false" 2284
10 0 "KNT" "true" 2108
10 0 "URF" "true" 1893
10 0 "KRF" "true" 1757
10 0 "URT" "true" 2440
10 0 "KRF" "false" 1784
10 0 "UNF" "false" 4043
10 0 "UNF" "true" 2786
10 0 "UNT" "true" 4435
10 0 "KRT" "true" 1794
10 0 "KRT" "true" 1615
10 0 "KRF" "false" 1652
10 0 "KNF" "false" 3481
10 0 "KRT" "true" 2072
10 0 "KRT" "true" 1922
10 0 "KRT" "true" 2314
10 0 "KNF" "false" 3056
10 0 "KRF" "false" 2612
10 0 "URT" "true" 2615
10 0 "URT" "true" 1464
10 0 "KNT" "true" 3025
10 0 "URT" "false" 2878
10 0 "URT" "true" 3912
10 0 "KNT" "true" 2584
10 0 "URF" "false" 2482
10 0 "KRT" "false" 2603
10 0 "UNT" "true" 2843
10 0 "KRF" "true" 4051
10 0 "UNT" "true" 2668
11 0 "URT" "true" 2939
11 0 "KNT" "true" 5015
11 0 "KNF" "false" 4769
11 0 "KRT" "true" 2370
11 0 "KNT" "true" 4639
11 0 "KNT" "false" 7229
11 0 "KNF" "true" 3187
11 0 "URT" "true" 3805
11 0 "KNT" "true" 4680
11 0 "KNT" "true" 2797
11 0 "UNT" "true" 5338
11 0 "URT" "false" 3675
11 0 "KNF" "false" 3179
11 0 "KRT" "true" 2557
11 0 "UNF" "false" 4939
11 0 "KRF" "false" 2677
11 0 "KRF" "false" 6790
11 0 "KRF" "true" 3244
11 0 "URF" "true" 2573
11 0 "KNF" "true" 4003
