"subj" "group" "tree" "cat" "rt"
6 0 3 7 1432
6 0 0 1 4497
6 0 1 3 3685
6 0 0 0 2594
6 0 4 8 3024
6 0 5 11 1663
6 0 6 12 2276
6 0 3 7 3024
6 0 2 5 3178
6 0 6 13 4619
6 0 0 1 2877
6 0 1 3 3039
6 0 4 8 2458
6 0 5 11 2727
6 0 2 5 3664
6 0 0 1 2856
6 0 6 12 1505
6 0 2 5 5738
6 0 4 8 2394
6 0 6 12 1555
6 0 6 13 1849
6 0 5 11 2215
6 0 6 13 2529
6 0 5 11 1917
6 0 3 7 1811
6 0 4 8 1949
6 0 0 1 3184
6 0 0 0 4140
6 0 6 12 1725
6 0 4 8 2226
6 0 0 0 2851
6 0 3 7 3625
6 0 7 15 1803
6 0 1 3 2518
6 0 7 15 1265
6 0 3 7 4732
6 0 0 0 3779
6 0 2 4 1965
6 0 5 11 2341
6 0 2 5 2804
6 0 1 3 3691
6 0 7 14 2959
6 0 3 7 3179
6 0 4 8 4682
6 0 0 1 2655
6 0 2 4 1676
6 0 3 7 3150
6 0 4 9 3421
6 0 1 3 2299
6 0 4 8 2890
6 0 1 3 4225
6 0 5 11 2648
6 0 2 5 1340
6 0 0 0 2037
6 0 7 15 1330
6 0 2 5 2308
6 0 6 12 6055
7 0 5 11 2252
7 0 7 15 1504
7 0 2 4 2131
7 0 1 3 2221
7 0 3 7 1772
7 0 0 1 1815
7 0 2 4 2767
7 0 3 7 1659
7 0 0 1 2275
7 0 2 4 2308
7 0 5 11 1807
7 0 6 13 1836
7 0 6 13 1163
7 0 5 11 1498
7 0 6 13 1765
7 0 6 12 1439
7 0 7 15 1212
7 0 0 1 2434
7 0 7 15 1785
7 0 1 2 1786
7 0 7 15 1427
7 0 6 12 2091
7 0 7 15 1088
7 0 0 0 2819
7 0 6 12 2037
7 0 2 5 2053
7 0 0 0 3084
7 0 3 7 1223
7 0 4 8 3805
7 0 1 3 2134
7 0 4 9 2144
7 0 1 3 1388
7 0 2 4 1505
7 0 3 7 2834
7 0 4 9 1613
7 0 3 7 1561
7 0 6 12 1825
7 0 5 11 2246
7 0 4 8 1968
7 0 5 11 1597
7 0 7 15 2954
7 0 1 2 3086
7 0 0 0 1476
7 0 4 9 2120
7 0 0 0 2007
7 0 1 3 2072
7 0 5 11 1993
7 0 0 0 1823
7 0 2 4 2713
7 0 1 3 1952
7 0 4 8 2209
7 0 2 4 2340
7 0 1 3 3103
7 0 3 7 1476
7 0 6 13 2118
7 0 3 7 1803
7 0 5 11 1441
7 0 1 3 1900
7 0 5 11 2080
7 0 0 0 1937
7 0 3 7 1147
7 0 4 9 2031
7 0 1 3 2124
7 0 2 5 1699
7 0 7 15 1173
7 0 3 7 3773
7 0 4 8 1589
7 0 0 1 2726
7 0 7 14 2714
7 0 3 7 1360
7 0 7 15 3633
7 0 7 15 1522
7 0 2 5 1755
7 0 4 8 1651
7 0 4 8 1769
7 0 2 5 1818
7 0 5 11 1769
7 0 5 11 3427
8 0 6 13 2910
8 0 1 3 4110
8 0 4 8 7411
8 0 2 4 3484
8 0 2 4 1683
8 0 2 5 3016
8 0 6 13 1290
8 0 7 15 1495
8 0 0 1 2835
8 0 4 9 3746
8 0 2 5 3288
8 0 2 5 2884
8 0 1 3 5891
8 0 6 12 3766
8 0 4 9 3961
8 0 0 1 3057
8 0 2 4 3035
